id,HR,HR.95L,HR.95H,pvalue
MCM2|PSMD14,3.48183009,2.517018254,4.816469152,4.86E-14
CTSZ|INPP5F,4.362761545,2.974096707,6.399821584,4.87E-14
F2R|FMOD,0.257485208,0.18090211,0.366488994,4.95E-14
EZH2|FMOD,0.316859545,0.234947698,0.427329026,5.02E-14
ELN|ERCC5,4.322521069,2.952980536,6.327230459,5.08E-14
ALDH3B1|FABP5,0.253422495,0.17727006,0.362288823,5.15E-14
CTSZ|MAPK8IP1,4.403246903,2.993390906,6.477130415,5.15E-14
SSTR2|EFNB1,0.152201121,0.093226348,0.248483198,5.18E-14
ADORA1|RIN2,3.162683727,2.343042806,4.269050624,5.34E-14
HBQ1|CHRNA1,0.224073753,0.151758258,0.330848861,5.35E-14
ACTN1|LARP4B,4.547829589,3.064903454,6.748256275,5.37E-14
IL1A|CYP2D6,3.911785694,2.741770228,5.581090333,5.38E-14
DIRAS3|KCNC2,4.324721759,2.952794328,6.334074175,5.43E-14
SEMA6C|ITGA2,0.312330175,0.23062514,0.422981372,5.45E-14
CD4|COL1A1,0.32061206,0.238357348,0.431252041,5.46E-14
PARP4|RIN2,3.557578146,2.55568207,4.952244417,5.47E-14
PLAT|GRID2,4.52316186,3.051924496,6.703636753,5.55E-14
KCNK3|PSMB9,0.200594466,0.131945252,0.304960877,5.63E-14
WEE1|DLC1,3.25426551,2.392110514,4.427154995,5.74E-14
CORO1A|ADCYAP1R1,3.343802377,2.440547879,4.581354224,5.76E-14
CTSZ|PLAT,0.280966038,0.201747282,0.391291094,5.81E-14
IL6|SHANK2,3.942799148,2.75636151,5.639922437,5.86E-14
COL1A1|ATG5,3.243924072,2.386182272,4.409991437,5.88E-14
COL1A1|RND2,3.426920709,2.484833804,4.726185521,5.93E-14
GADD45G|PSMD9,0.267467674,0.18957142,0.377372055,5.98E-14
NGFR|TOP3B,3.241234513,2.384280925,4.406192686,6.09E-14
S100A11|CTSS,3.442509051,2.492426413,4.754751637,6.26E-14
PLCG1|ELN,0.29193472,0.211626775,0.402717854,6.33E-14
PDIA2|CDC25A,0.226244205,0.153429246,0.333615927,6.39E-14
GADD45G|PSMB10,0.303305773,0.222032057,0.414329325,6.56E-14
PTGER3|CCL25,0.308626272,0.226939367,0.419716405,6.65E-14
CD4|HMOX1,0.311914465,0.229953345,0.423088577,6.88E-14
PSMD12|MAPK10,4.195389786,2.882700775,6.105835059,6.90E-14
SSTR2|GAS1,0.191713426,0.12442684,0.29538673,6.94E-14
RRM2|HIST2H2BE,3.098736028,2.304790327,4.166177226,6.95E-14
SIRT1|TGFBI,0.278202177,0.199038155,0.388852334,6.96E-14
KCNK3|PIGZ,0.285054169,0.205232286,0.395921523,7.02E-14
PSMC5|PSMD3,0.32388787,0.241114122,0.435077594,7.05E-14
CASP5|TAT,3.121137551,2.316827805,4.204671402,7.10E-14
TNR|INPP5F,0.298316346,0.21733808,0.409466405,7.11E-14
CTSZ|MTDH,3.436223846,2.487237291,4.747289036,7.13E-14
DLC1|CHI3L2,0.308891637,0.227100737,0.420139736,7.13E-14
PSMD9|COL4A1,0.186668832,0.120283024,0.289693856,7.15E-14
TOP3B|LUM,0.308660402,0.226871262,0.419935267,7.22E-14
CHI3L2|CTSS,3.114460773,2.312796573,4.193998735,7.32E-14
ELN|MTDH,3.122399821,2.316992961,4.207773094,7.41E-14
BID|FPR1,0.301380819,0.220095022,0.412687199,7.49E-14
TNFRSF12A|EZH2,3.232795128,2.376987855,4.396726015,7.52E-14
GRIK2|ABCA5,0.251732526,0.175358735,0.361369306,7.55E-14
KCNK3|VAMP8,0.209544919,0.139116323,0.315628476,7.56E-14
CORO1A|BAG1,3.318515034,2.423180616,4.544664132,7.61E-14
IL2RG|ABCC3,0.273996221,0.195135926,0.38472633,7.67E-14
BID|PDLIM1,0.253407832,0.176799176,0.363211702,7.78E-14
CDC25A|CYP2E1,6.144252124,3.816635587,9.891390809,7.83E-14
IL2RG|TNFRSF11B,0.301794479,0.220407674,0.413233832,7.93E-14
ABCC3|HDAC1,4.05133852,2.806154782,5.849051487,8.21E-14
FASN|CLIC4,0.252800536,0.176195496,0.362711376,8.27E-14
PSMD12|COL1A1,0.307948567,0.226024821,0.419565956,8.40E-14
BID|HSPB1,0.16141082,0.099979221,0.260588674,8.47E-14
HSPA5|RND2,4.609746181,3.085807802,6.886287552,8.49E-14
F2R|TOP2A,0.314759786,0.232338024,0.426420614,8.52E-14
FASN|PSMC5,0.288754477,0.208362278,0.400164313,8.56E-14
TOM1L1|RIN1,3.70370693,2.625735223,5.224230113,8.61E-14
TNR|PIGZ,0.310525186,0.22837937,0.422218046,8.65E-14
S100PBP|MAPK10,3.773523997,2.66159482,5.349981615,8.90E-14
BGN|INPP5F,5.326835513,3.431578105,8.268841831,8.94E-14
WEE1|PSMD6,3.673418751,2.609059167,5.171981338,9.08E-14
