id,HR,HR.95L,HR.95H,pvalue
INPP5F,0.518781542,0.429167192,0.627108254,1.18E-11
FYN,0.447096564,0.354151135,0.564435118,1.29E-11
IL6,1.218511534,1.150745446,1.290268291,1.29E-11
RRM1,2.694881378,2.022460064,3.590867265,1.30E-11
HIST2H2BE,1.70199593,1.450012761,1.997768727,7.76E-11
IL1A,1.341479476,1.225783974,1.468094886,1.73E-10
SIX6,1.175141631,1.117825352,1.235396791,2.52E-10
KCNC2,0.840889791,0.796823328,0.887393248,2.79E-10
TP63,1.318905269,1.209255669,1.438497377,4.09E-10
PRKCG,0.82311029,0.774257671,0.875045318,4.50E-10
PSMC5,0.215675238,0.132741104,0.350425054,5.85E-10
ALDH3B1,1.624166813,1.392758842,1.894023398,6.24E-10
CDC5L,0.281637492,0.187981846,0.42195392,8.09E-10
ATG5,3.016555906,2.111145369,4.310271415,1.33E-09
PTPN6,1.577169153,1.360979868,1.82769973,1.38E-09
CD4,1.574344901,1.358668253,1.824258322,1.57E-09
DHRS2,0.788452564,0.729635084,0.85201145,1.87E-09
ATG7,2.950501833,2.07129272,4.202912019,2.05E-09
PSMF1,5.251362929,3.03819516,9.076708756,2.85E-09
S100B,1.547623917,1.33941826,1.78819407,3.14E-09
PSMB10,1.814242183,1.481927475,2.221076776,7.91E-09
DDX17,0.386306392,0.279257032,0.534391658,9.20E-09
ADORA1,1.455369202,1.278079891,1.657251263,1.50E-08
MARCKSL1,0.576462035,0.475182521,0.699328076,2.30E-08
SNAP25,0.82807012,0.773396493,0.886608784,6.19E-08
ITGB4,1.301440348,1.179478358,1.436013613,1.54E-07
NXPH3,0.726771533,0.645107817,0.818772998,1.54E-07
PLCG1,2.040473655,1.562403581,2.664825393,1.64E-07
F2R,1.509910328,1.290925994,1.766041749,2.55E-07
ABCA5,1.270446597,1.157977494,1.393839313,4.16E-07
PIGZ,0.633470072,0.530794484,0.756006974,4.19E-07
NOD2,1.353767845,1.203891075,1.522303318,4.20E-07
CORO1A,1.529888633,1.285143258,1.82124383,1.75E-06
PSMC1,2.024902172,1.515911279,2.704794709,1.78E-06
PARP4,2.127637905,1.560530346,2.900836288,1.81E-06
PSMD3,3.364839265,2.008954414,5.635838825,4.01E-06
PTGS2,1.192257356,1.105267722,1.286093472,5.38E-06
TOP3B,0.585711156,0.456348585,0.751744544,2.66E-05
BCL2L1,1.989061238,1.440562476,2.746402654,2.95E-05
OGDH,2.147147156,1.491779415,3.090430706,3.91E-05
MMP3,1.18045183,1.088744741,1.279883585,5.81E-05
BICC1,1.25036512,1.119934601,1.395985918,7.03E-05
PCSK1,1.157878967,1.074976863,1.247174472,0.000110008
MTDH,2.31141129,1.50861397,3.54141103,0.000118679
TAT,0.791342905,0.701890488,0.892195584,0.000131418
ITGA6,1.478995676,1.20710657,1.812125179,0.000159328
PIK3R3,1.489592817,1.209224744,1.834966388,0.000179942
CCL25,1.242114317,1.107249146,1.393406337,0.000217938
RAB13,1.495448643,1.208032241,1.851247482,0.000219464
LAMP2,1.641326096,1.251124852,2.153223438,0.000346811
GNL3L,1.826930023,1.294246467,2.578854487,0.00061139
EGFR,1.151313506,1.054538955,1.256969013,0.001658585
GRIK3,0.842159868,0.738807091,0.959970813,0.010126131
GABARAP,0.636971369,0.439399813,0.923378922,0.017277995
PSMB6,1.544715954,1.050940019,2.270488645,0.026911475
CDKN2A,0.914037866,0.844001076,0.989886441,0.02711326
CH25H,0.921778593,0.850991104,0.998454356,0.045726777
BMP8B,1.062801269,0.974553347,1.159040233,0.168463504
RTEL1,1.171838768,0.930042973,1.476497472,0.178664459
MTOR,0.883327912,0.666675622,1.17038658,0.387534608
DRD2,1.041336331,0.939484425,1.154230263,0.440535105
VAV2,1.037960807,0.796926552,1.35189703,0.782283079
FLVCR2,0.985707641,0.854853071,1.136592457,0.842971226
NLRP3,0.993517955,0.876862662,1.125692733,0.918718855
FKBP3,0.992960161,0.682620543,1.444389406,0.970525802
