ID,group1,group2,batch
CGGA_J130,CGGA325,CGGA325,1
CGGA_1005,CGGA325,CGGA325,1
CGGA_1013,CGGA325,CGGA325,1
CGGA_1020,CGGA325,CGGA325,1
CGGA_1027,CGGA325,CGGA325,1
CGGA_1031,CGGA325,CGGA325,1
CGGA_1046,CGGA325,CGGA325,1
CGGA_1050,CGGA325,CGGA325,1
CGGA_1060,CGGA325,CGGA325,1
CGGA_1061,CGGA325,CGGA325,1
CGGA_1068,CGGA325,CGGA325,1
CGGA_1094,CGGA325,CGGA325,1
CGGA_1105,CGGA325,CGGA325,1
CGGA_1113,CGGA325,CGGA325,1
CGGA_1129,CGGA325,CGGA325,1
CGGA_1136,CGGA325,CGGA325,1
CGGA_1146,CGGA325,CGGA325,1
CGGA_1160,CGGA325,CGGA325,1
CGGA_1170,CGGA325,CGGA325,1
CGGA_1175,CGGA325,CGGA325,1
CGGA_1189,CGGA325,CGGA325,1
CGGA_1190,CGGA325,CGGA325,1
CGGA_1215,CGGA325,CGGA325,1
CGGA_1219,CGGA325,CGGA325,1
CGGA_1227,CGGA325,CGGA325,1
CGGA_1231,CGGA325,CGGA325,1
CGGA_1287,CGGA325,CGGA325,1
CGGA_1307,CGGA325,CGGA325,1
CGGA_1314,CGGA325,CGGA325,1
CGGA_1322,CGGA325,CGGA325,1
CGGA_1324,CGGA325,CGGA325,1
CGGA_1329,CGGA325,CGGA325,1
CGGA_1330,CGGA325,CGGA325,1
CGGA_1374,CGGA325,CGGA325,1
CGGA_1375,CGGA325,CGGA325,1
CGGA_1381,CGGA325,CGGA325,1
CGGA_1384,CGGA325,CGGA325,1
CGGA_1388,CGGA325,CGGA325,1
CGGA_1394,CGGA325,CGGA325,1
CGGA_1406,CGGA325,CGGA325,1
CGGA_1409,CGGA325,CGGA325,1
CGGA_1412,CGGA325,CGGA325,1
CGGA_171,CGGA325,CGGA325,1
CGGA_236,CGGA325,CGGA325,1
CGGA_241,CGGA325,CGGA325,1
CGGA_245,CGGA325,CGGA325,1
CGGA_251,CGGA325,CGGA325,1
CGGA_252,CGGA325,CGGA325,1
CGGA_254,CGGA325,CGGA325,1
CGGA_256,CGGA325,CGGA325,1
CGGA_261,CGGA325,CGGA325,1
CGGA_267,CGGA325,CGGA325,1
CGGA_273,CGGA325,CGGA325,1
CGGA_283,CGGA325,CGGA325,1
CGGA_300,CGGA325,CGGA325,1
CGGA_314,CGGA325,CGGA325,1
CGGA_333,CGGA325,CGGA325,1
CGGA_337,CGGA325,CGGA325,1
CGGA_374,CGGA325,CGGA325,1
CGGA_400,CGGA325,CGGA325,1
CGGA_431,CGGA325,CGGA325,1
CGGA_446,CGGA325,CGGA325,1
CGGA_458,CGGA325,CGGA325,1
CGGA_479,CGGA325,CGGA325,1
CGGA_485,CGGA325,CGGA325,1
CGGA_490,CGGA325,CGGA325,1
CGGA_491,CGGA325,CGGA325,1
CGGA_501,CGGA325,CGGA325,1
CGGA_502,CGGA325,CGGA325,1
CGGA_510,CGGA325,CGGA325,1
CGGA_538,CGGA325,CGGA325,1
CGGA_543,CGGA325,CGGA325,1
CGGA_545,CGGA325,CGGA325,1
CGGA_551,CGGA325,CGGA325,1
CGGA_560,CGGA325,CGGA325,1
CGGA_580,CGGA325,CGGA325,1
CGGA_591,CGGA325,CGGA325,1
CGGA_598,CGGA325,CGGA325,1
